evenement,heure_windows_utc,filetime,pid,processus,classe,operation,chemin,resultat_ntstatus,details
348292,2026-09-10T14:02:50.679003+00:00,134335225706790032,5176,xcopy.exe,File_System,QueryDirectory,C:\WindSyst,0x00000000,"{""Filter"": ""WindSyst"", ""FileInformationClass"": ""FileBothDirectoryInformation"", ""2"": ""WindSyst""}"
348297,2026-09-10T14:02:50.679598+00:00,134335225706795981,5176,xcopy.exe,File_System,QueryDirectory,C:\WindSyst,0x00000000,"{""Filter"": ""WindSyst"", ""FileInformationClass"": ""FileBothDirectoryInformation"", ""2"": ""WindSyst""}"
348316,2026-09-10T14:02:50.683303+00:00,134335225706833039,5176,xcopy.exe,File_System,QueryDirectory,C:\WindSyst,0x00000000,"{""Filter"": ""WindSyst"", ""FileInformationClass"": ""FileBothDirectoryInformation"", ""2"": ""WindSyst""}"
348322,2026-09-10T14:02:50.684815+00:00,134335225706848155,5176,xcopy.exe,File_System,CreateFile,C:\WindSyst,0x00000000,"{""Desired Access"": ""Write Attributes"", ""Disposition"": ""Open"", ""Options"": """", ""Attributes"": ""n/a"", ""ShareMode"": ""Read, Write, Delete"", ""AllocationSize"": ""n/a"", ""OpenResult"": ""Opened""}"
348323,2026-09-10T14:02:50.685275+00:00,134335225706852757,5176,xcopy.exe,File_System,SetBasicInformationFile,C:\WindSyst,0x00000000,{}
348324,2026-09-10T14:02:50.685393+00:00,134335225706853932,5176,xcopy.exe,File_System,CloseFile,C:\WindSyst,0x00000000,{}
348326,2026-09-10T14:02:50.685476+00:00,134335225706854763,5176,xcopy.exe,File_System,IRP_MJ_CLOSE,C:\WindSyst,0x00000000,{}
348333,2026-09-10T14:02:50.688025+00:00,134335225706880257,5176,xcopy.exe,File_System,CreateFile,C:\WindSyst,0x00000000,"{""Desired Access"": ""Read Data/List Directory, Synchronize"", ""Disposition"": ""Open"", ""Options"": ""Directory, Synchronous IO Non-Alert"", ""Attributes"": ""n/a"", ""ShareMode"": ""Read, Write, Delete"", ""AllocationSize"": ""n/a"", ""OpenResult"": ""Opened""}"
348336,2026-09-10T14:02:50.688225+00:00,134335225706882251,5176,xcopy.exe,File_System,QueryDirectory,C:\WindSyst\Qt5Network.dll,0xc000000f,"{""Filter"": ""Qt5Network.dll"", ""FileInformationClass"": ""FileBothDirectoryInformation""}"
348338,2026-09-10T14:02:50.688360+00:00,134335225706883600,5176,xcopy.exe,File_System,CloseFile,C:\WindSyst,0x00000000,{}
348340,2026-09-10T14:02:50.688443+00:00,134335225706884439,5176,xcopy.exe,File_System,IRP_MJ_CLOSE,C:\WindSyst,0x00000000,{}
348371,2026-09-10T14:02:50.696062+00:00,134335225706960627,5176,xcopy.exe,File_System,CreateFile,C:\WindSyst\Qt5Network.dll,0x00000000,"{""Desired Access"": ""Generic Read/Write, Delete, Write DAC"", ""Disposition"": ""OverwriteIf"", ""Options"": ""Sequential Access, Non-Directory File"", ""Attributes"": ""A"", ""ShareMode"": ""None"", ""AllocationSize"": 1798144, ""OpenResult"": ""Created""}"
348374,2026-09-10T14:02:50.698358+00:00,134335225706983588,5176,xcopy.exe,File_System,CloseFile,C:\WindSyst\Qt5Network.dll,0x00000000,{}
348375,2026-09-10T14:02:50.698968+00:00,134335225706989682,5176,xcopy.exe,File_System,IRP_MJ_CLOSE,C:\WindSyst\Qt5Network.dll,0x00000000,{}
348379,2026-09-10T14:02:50.700950+00:00,134335225707009503,5176,xcopy.exe,File_System,CreateFile,C:\WindSyst\Qt5Network.dll,0x00000000,"{""Desired Access"": ""Generic Read/Write, Delete, Write DAC"", ""Disposition"": ""OpenIf"", ""Options"": ""Sequential Access, Synchronous IO Non-Alert, Non-Directory File"", ""Attributes"": ""A"", ""ShareMode"": ""None"", ""AllocationSize"": 1798144, ""OpenResult"": ""Opened""}"
348380,2026-09-10T14:02:50.701464+00:00,134335225707014645,5176,xcopy.exe,File_System,QueryAttributeInformationVolume,C:\WindSyst\Qt5Network.dll,0x00000000,{}
348381,2026-09-10T14:02:50.701579+00:00,134335225707015792,5176,xcopy.exe,File_System,QueryBasicInformationFile,C:\WindSyst\Qt5Network.dll,0x00000000,"{""CreationTime"": 134335225707083234, ""LastAccessTime"": 134335225707083234, ""LastWriteTime"": 134335225707083234, ""ChangeTime"": 134335225707083234, ""FileAttributes"": ""A""}"
348460,2026-09-10T14:02:50.726357+00:00,134335225707263576,5176,xcopy.exe,File_System,SetEndOfFileInformationFile,C:\WindSyst\Qt5Network.dll,0x00000000,{}
348479,2026-09-10T14:02:50.731869+00:00,134335225707318698,5176,xcopy.exe,File_System,WriteFile,C:\WindSyst\Qt5Network.dll,0x00000000,"{""Offset"": 0, ""Length"": 262144, ""Priority"": ""Normal""}"
348485,2026-09-10T14:02:50.733749+00:00,134335225707337491,5176,xcopy.exe,File_System,WriteFile,C:\WindSyst\Qt5Network.dll,0x00000000,"{""Offset"": 262144, ""Length"": 262144}"
348493,2026-09-10T14:02:50.734633+00:00,134335225707346338,5176,xcopy.exe,File_System,WriteFile,C:\WindSyst\Qt5Network.dll,0x00000000,"{""Offset"": 524288, ""Length"": 262144}"
348496,2026-09-10T14:02:50.735642+00:00,134335225707356424,5176,xcopy.exe,File_System,WriteFile,C:\WindSyst\Qt5Network.dll,0x00000000,"{""Offset"": 786432, ""Length"": 262144}"
348500,2026-09-10T14:02:50.736952+00:00,134335225707369524,5176,xcopy.exe,File_System,WriteFile,C:\WindSyst\Qt5Network.dll,0x00000000,"{""Offset"": 1048576, ""Length"": 262144}"
348504,2026-09-10T14:02:50.738092+00:00,134335225707380926,5176,xcopy.exe,File_System,WriteFile,C:\WindSyst\Qt5Network.dll,0x00000000,"{""Offset"": 1310720, ""Length"": 262144}"
348508,2026-09-10T14:02:50.739182+00:00,134335225707391826,5176,xcopy.exe,File_System,WriteFile,C:\WindSyst\Qt5Network.dll,0x00000000,"{""Offset"": 1572864, ""Length"": 225280}"
348510,2026-09-10T14:02:50.739815+00:00,134335225707398159,5176,xcopy.exe,File_System,SetBasicInformationFile,C:\WindSyst\Qt5Network.dll,0x00000000,{}
348511,2026-09-10T14:02:50.740378+00:00,134335225707403782,5176,xcopy.exe,File_System,QueryRemoteProtocolInformation,C:\WindSyst\Qt5Network.dll,0xc000000d,{}
348514,2026-09-10T14:02:50.740613+00:00,134335225707406131,5176,xcopy.exe,File_System,CloseFile,C:\WindSyst\Qt5Network.dll,0x00000000,{}
348544,2026-09-10T14:02:50.751610+00:00,134335225707516108,5176,xcopy.exe,File_System,QueryOpen,C:\WindSyst\Qt5Network.dll,0xc01c0004,{}
348545,2026-09-10T14:02:50.752450+00:00,134335225707524502,5176,xcopy.exe,File_System,CreateFile,C:\WindSyst\Qt5Network.dll,0x00000000,"{""Desired Access"": ""Read Attributes"", ""Disposition"": ""Open"", ""Options"": ""Open Reparse Point"", ""Attributes"": ""n/a"", ""ShareMode"": ""Read, Write, Delete"", ""AllocationSize"": ""n/a"", ""OpenResult"": ""Opened""}"
348546,2026-09-10T14:02:50.752638+00:00,134335225707526386,5176,xcopy.exe,File_System,QueryBasicInformationFile,C:\WindSyst\Qt5Network.dll,0x00000000,"{""CreationTime"": 134335225707083234, ""LastAccessTime"": 134335225707404181, ""LastWriteTime"": 133048999860000000, ""ChangeTime"": 134335221307466556, ""FileAttributes"": ""A""}"
348548,2026-09-10T14:02:50.752726+00:00,134335225707527266,5176,xcopy.exe,File_System,CloseFile,C:\WindSyst\Qt5Network.dll,0x00000000,{}
