evenement,heure_windows_utc,filetime,pid,processus,classe,operation,chemin,resultat_ntstatus,details
126391,2026-09-10T10:33:41.687305+00:00,134335100216873056,4784,xcopy.exe,File_System,QueryBasicInformationFile,C:\WindSyst\Qt5Widgets.dll,0x00000000,"{""CreationTime"": 134335100215562466, ""LastAccessTime"": 134335100216812100, ""LastWriteTime"": 133049000020000000, ""ChangeTime"": 134335096107322820, ""FileAttributes"": ""A""}"
126392,2026-09-10T10:33:41.687377+00:00,134335100216873771,4784,xcopy.exe,File_System,CloseFile,C:\WindSyst\Qt5Widgets.dll,0x00000000,{}
126393,2026-09-10T10:33:41.687477+00:00,134335100216874778,4784,xcopy.exe,File_System,IRP_MJ_CLOSE,C:\WindSyst\Qt5Widgets.dll,0x00000000,{}
126394,2026-09-10T10:33:41.688775+00:00,134335100216887759,4784,xcopy.exe,File_System,CreateFile,C:\WindSyst\Qt5Widgets.dll,0x00000000,"{""Desired Access"": ""Write Attributes"", ""Disposition"": ""Open"", ""Options"": """", ""Attributes"": ""n/a"", ""ShareMode"": ""Read, Write, Delete"", ""AllocationSize"": ""n/a"", ""OpenResult"": ""Opened""}"
126395,2026-09-10T10:33:41.689154+00:00,134335100216891546,4784,xcopy.exe,File_System,SetBasicInformationFile,C:\WindSyst\Qt5Widgets.dll,0x00000000,{}
126409,2026-09-10T10:33:41.692913+00:00,134335100216929138,4784,xcopy.exe,File_System,CloseFile,C:\WindSyst\Qt5Widgets.dll,0x00000000,{}
126412,2026-09-10T10:33:41.693053+00:00,134335100216930531,4784,xcopy.exe,File_System,IRP_MJ_CLOSE,C:\WindSyst\Qt5Widgets.dll,0x00000000,{}
126444,2026-09-10T10:33:41.703045+00:00,134335100217030458,4784,xcopy.exe,File_System,CreateFile,C:\WindSyst,0x00000000,"{""Desired Access"": ""Read Data/List Directory, Synchronize"", ""Disposition"": ""Open"", ""Options"": ""Directory, Synchronous IO Non-Alert"", ""Attributes"": ""n/a"", ""ShareMode"": ""Read, Write, Delete"", ""AllocationSize"": ""n/a"", ""OpenResult"": ""Opened""}"
126449,2026-09-10T10:33:41.703613+00:00,134335100217036138,4784,xcopy.exe,File_System,QueryDirectory,C:\WindSyst\Qt5Widgets.dll,0x00000000,"{""Filter"": ""Qt5Widgets.dll"", ""FileInformationClass"": ""FileBothDirectoryInformation"", ""2"": ""Qt5Widgets.dll""}"
126450,2026-09-10T10:33:41.703900+00:00,134335100217039006,4784,xcopy.exe,File_System,CloseFile,C:\WindSyst,0x00000000,{}
126451,2026-09-10T10:33:41.704015+00:00,134335100217040154,4784,xcopy.exe,File_System,IRP_MJ_CLOSE,C:\WindSyst,0x00000000,{}
126454,2026-09-10T10:33:41.704891+00:00,134335100217048910,4784,xcopy.exe,File_System,CreateFile,C:\WindSyst\Qt5Widgets.dll,0x00000000,"{""Desired Access"": ""Write Attributes"", ""Disposition"": ""Open"", ""Options"": """", ""Attributes"": ""n/a"", ""ShareMode"": ""Read, Write, Delete"", ""AllocationSize"": ""n/a"", ""OpenResult"": ""Opened""}"
126458,2026-09-10T10:33:41.705224+00:00,134335100217052249,4784,xcopy.exe,File_System,SetBasicInformationFile,C:\WindSyst\Qt5Widgets.dll,0x00000000,{}
126459,2026-09-10T10:33:41.705354+00:00,134335100217053541,4784,xcopy.exe,File_System,CloseFile,C:\WindSyst\Qt5Widgets.dll,0x00000000,{}
126461,2026-09-10T10:33:41.705448+00:00,134335100217054486,4784,xcopy.exe,File_System,IRP_MJ_CLOSE,C:\WindSyst\Qt5Widgets.dll,0x00000000,{}
126521,2026-09-10T10:33:41.728356+00:00,134335100217283566,4784,xcopy.exe,Process,Process_Exit,,0x00000000,"{""Exit Status"": 0, ""User Time"": 156250, ""Kernel Time"": 2343750, ""Private Bytes"": 1265664, ""Peak Private Bytes"": 1806336, ""Working Set"": 4837376, ""Peak Working Set"": 5275648}"
126576,2026-09-10T10:33:41.745820+00:00,134335100217458201,1324,cmd.exe,Process,Process_Exit,,0x00000000,"{""Exit Status"": 0, ""User Time"": 312500, ""Kernel Time"": 1093750, ""Private Bytes"": 4562944, ""Peak Private Bytes"": 4825088, ""Working Set"": 4775936, ""Peak Working Set"": 4890624}"
126764,2026-09-10T10:33:41.805913+00:00,134335100218059135,6064,Res.exe,Process,Process_Create,C:\Windows\SysWOW64\cmd.exe,0x00000000,"{""PID"": 1312, ""Command line"": ""C:\\Windows\\system32\\cmd.exe /c XCOPY Qt5Network.dll c:\\WindSyst /S""}"
126765,2026-09-10T10:33:41.805969+00:00,134335100218059690,1312,cmd.exe,Process,Process_Start,,0x00000000,"{""Parent PID"": 6064, ""Command line"": ""C:\\Windows\\system32\\cmd.exe /c XCOPY Qt5Network.dll c:\\WindSyst /S"", ""Current directory"": ""C:\\lab\\sample\\virus\\""}"
127593,2026-09-10T10:33:41.974493+00:00,134335100219744930,1312,cmd.exe,Process,Process_Create,C:\Windows\SysWOW64\xcopy.exe,0x00000000,"{""PID"": 5572, ""Command line"": ""XCOPY  Qt5Network.dll c:\\WindSyst /S""}"
127594,2026-09-10T10:33:41.974578+00:00,134335100219745781,5572,xcopy.exe,Process,Process_Start,,0x00000000,"{""Parent PID"": 1312, ""Command line"": ""XCOPY  Qt5Network.dll c:\\WindSyst /S"", ""Current directory"": ""C:\\lab\\sample\\virus\\""}"
128518,2026-09-10T10:33:42.188641+00:00,134335100221886419,5572,xcopy.exe,File_System,QueryDirectory,C:\WindSyst,0x00000000,"{""Filter"": ""WindSyst"", ""FileInformationClass"": ""FileBothDirectoryInformation"", ""2"": ""WindSyst""}"
128528,2026-09-10T10:33:42.189262+00:00,134335100221892621,5572,xcopy.exe,File_System,QueryDirectory,C:\WindSyst,0x00000000,"{""Filter"": ""WindSyst"", ""FileInformationClass"": ""FileBothDirectoryInformation"", ""2"": ""WindSyst""}"
128539,2026-09-10T10:33:42.191452+00:00,134335100221914523,5572,xcopy.exe,File_System,QueryDirectory,C:\WindSyst,0x00000000,"{""Filter"": ""WindSyst"", ""FileInformationClass"": ""FileBothDirectoryInformation"", ""2"": ""WindSyst""}"
128546,2026-09-10T10:33:42.192559+00:00,134335100221925599,5572,xcopy.exe,File_System,CreateFile,C:\WindSyst,0x00000000,"{""Desired Access"": ""Write Attributes"", ""Disposition"": ""Open"", ""Options"": """", ""Attributes"": ""n/a"", ""ShareMode"": ""Read, Write, Delete"", ""AllocationSize"": ""n/a"", ""OpenResult"": ""Opened""}"
128553,2026-09-10T10:33:42.193771+00:00,134335100221937716,5572,xcopy.exe,File_System,SetBasicInformationFile,C:\WindSyst,0x00000000,{}
128554,2026-09-10T10:33:42.193901+00:00,134335100221939019,5572,xcopy.exe,File_System,CloseFile,C:\WindSyst,0x00000000,{}
128555,2026-09-10T10:33:42.194009+00:00,134335100221940095,5572,xcopy.exe,File_System,IRP_MJ_CLOSE,C:\WindSyst,0x00000000,{}
128565,2026-09-10T10:33:42.196568+00:00,134335100221965683,5572,xcopy.exe,File_System,CreateFile,C:\WindSyst,0x00000000,"{""Desired Access"": ""Read Data/List Directory, Synchronize"", ""Disposition"": ""Open"", ""Options"": ""Directory, Synchronous IO Non-Alert"", ""Attributes"": ""n/a"", ""ShareMode"": ""Read, Write, Delete"", ""AllocationSize"": ""n/a"", ""OpenResult"": ""Opened""}"
128566,2026-09-10T10:33:42.196767+00:00,134335100221967673,5572,xcopy.exe,File_System,QueryDirectory,C:\WindSyst\Qt5Network.dll,0xc000000f,"{""Filter"": ""Qt5Network.dll"", ""FileInformationClass"": ""FileBothDirectoryInformation""}"
128569,2026-09-10T10:33:42.196911+00:00,134335100221969117,5572,xcopy.exe,File_System,CloseFile,C:\WindSyst,0x00000000,{}
128572,2026-09-10T10:33:42.197006+00:00,134335100221970064,5572,xcopy.exe,File_System,IRP_MJ_CLOSE,C:\WindSyst,0x00000000,{}
128611,2026-09-10T10:33:42.205534+00:00,134335100222055346,5572,xcopy.exe,File_System,CreateFile,C:\WindSyst\Qt5Network.dll,0x00000000,"{""Desired Access"": ""Generic Read/Write, Delete, Write DAC"", ""Disposition"": ""OverwriteIf"", ""Options"": ""Sequential Access, Non-Directory File"", ""Attributes"": ""A"", ""ShareMode"": ""None"", ""AllocationSize"": 1798144, ""OpenResult"": ""Created""}"
128619,2026-09-10T10:33:42.209912+00:00,134335100222099121,5572,xcopy.exe,File_System,CloseFile,C:\WindSyst\Qt5Network.dll,0x00000000,{}
128623,2026-09-10T10:33:42.210354+00:00,134335100222103548,5572,xcopy.exe,File_System,IRP_MJ_CLOSE,C:\WindSyst\Qt5Network.dll,0x00000000,{}
128624,2026-09-10T10:33:42.211225+00:00,134335100222112251,5572,xcopy.exe,File_System,CreateFile,C:\WindSyst\Qt5Network.dll,0x00000000,"{""Desired Access"": ""Generic Read/Write, Delete, Write DAC"", ""Disposition"": ""OpenIf"", ""Options"": ""Sequential Access, Synchronous IO Non-Alert, Non-Directory File"", ""Attributes"": ""A"", ""ShareMode"": ""None"", ""AllocationSize"": 1798144, ""OpenResult"": ""Opened""}"
128626,2026-09-10T10:33:42.211510+00:00,134335100222115109,5572,xcopy.exe,File_System,QueryAttributeInformationVolume,C:\WindSyst\Qt5Network.dll,0x00000000,{}
128627,2026-09-10T10:33:42.211599+00:00,134335100222115997,5572,xcopy.exe,File_System,QueryBasicInformationFile,C:\WindSyst\Qt5Network.dll,0x00000000,"{""CreationTime"": 134335100222124612, ""LastAccessTime"": 134335100222124612, ""LastWriteTime"": 134335100222124612, ""ChangeTime"": 134335100222124612, ""FileAttributes"": ""A""}"
128733,2026-09-10T10:33:42.244645+00:00,134335100222446453,5572,xcopy.exe,File_System,SetEndOfFileInformationFile,C:\WindSyst\Qt5Network.dll,0x00000000,{}
128748,2026-09-10T10:33:42.248283+00:00,134335100222482834,5572,xcopy.exe,File_System,WriteFile,C:\WindSyst\Qt5Network.dll,0x00000000,"{""Offset"": 0, ""Length"": 262144, ""Priority"": ""Normal""}"
128757,2026-09-10T10:33:42.249931+00:00,134335100222499314,5572,xcopy.exe,File_System,WriteFile,C:\WindSyst\Qt5Network.dll,0x00000000,"{""Offset"": 262144, ""Length"": 262144}"
128760,2026-09-10T10:33:42.250921+00:00,134335100222509214,5572,xcopy.exe,File_System,WriteFile,C:\WindSyst\Qt5Network.dll,0x00000000,"{""Offset"": 524288, ""Length"": 262144}"
